id,start_date,end_date,guest_id,total
1,2021-05-26,2021-05-27,841,82
2,2021-05-13,2021-05-18,510,451.0
3,2020-09-14,2020-09-15,260,82
4,2020-10-06,2020-10-11,995,430.5
5,2021-07-06,2021-07-10,425,328
6,2021-07-16,2021-07-23,543,615.0
7,2020-11-27,2020-12-01,381,369.0
8,2020-10-28,2020-11-03,9,533.0
9,2021-01-16,2021-01-23,103,615.0
10,2020-12-05,2020-12-08,658,287.0
11,2021-01-30,2021-02-05,776,533.0
12,2020-10-17,2020-10-21,724,369.0
13,2020-09-11,2020-09-13,559,184.5
14,2021-04-15,2021-04-22,652,615.0
15,2020-12-02,2020-12-05,236,246
16,2020-07-31,2020-08-03,575,287.0
17,2020-08-18,2020-08-19,112,82
18,2021-02-07,2021-02-10,479,266.5
19,2020-12-17,2020-12-24,144,615.0
20,2020-08-31,2020-09-01,818,82
21,2021-01-02,2021-01-04,232,205.0
